room_price,district,number_of_bedrooms,number_of_beds,number_of_individual_bathrooms,number_of_shared_bathrooms,refund_rule,type_airbnb,wifi,essentials,laptop_workspace,airconditioning,heating,TV,cable_TV,washing_machine,kitchen,hanger,paid_parking,free_parking,breakfast,shampoo,coffee_maker,tableware,oven,microwave,refrigerator,stove,luggage_store,long_stays_allowed,hair_dryer,first_aid_kit,LUXURY_ITEMS,FIRE_ITEMS,iron,hot_water,doorlock,greetings_from_host,extra_bedclothes,garden_or_backyard,guest_entrance,SECURITY_ITEMS,BABY_ITEMS,ethernet,balcony,dish_washer,pocket_wifi,plug_cover,river_lake_side
69385,영등포구,1,2,1,0,엄격,아파트 전체,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,2,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0
39496,용산구,1,1,0,1,엄격,주택의 개인실,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2,3,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
39496,강남구,1,4,1,0,일반,주택의 다인실,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35226,광진구,3,3,0,1,유연,주택의 개인실,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,3,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0
106843,마포구,1,4,1,0,엄격,콘도(아파트) 전체,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99274,마포구,1,1,1,0,엄격,콘도(아파트) 전체,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
43766,종로구,1,1,1,0,엄격,주택의 개인실,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,2,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0
24552,서초구,1,16,1.5,0,일반,주택의 다인실,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90817,마포구,0,2,1,0,엄격,콘도(아파트) 전체,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0
19215,영등포구,1,14,0,1,엄격,게스트용 별채의 개인실,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37361,용산구,1,1,1,0,유연,아파트의 개인실,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
69387,강남구,1,1,2,0,일반,B&b의 개인실,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110048,마포구,1,7,1,0,엄격,아파트 전체,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74722,마포구,1,1,1,0,엄격,호텔의 객실,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50171,강남구,1,1,1,0,엄격,아파트 전체,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
130348,종로구,0,1,1,0,일반,호스텔의 개인실,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44833,용산구,1,2,0,1,엄격,주택의 개인실,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0
80059,성북구,1,3,1,0,일반,로프트 전체,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
89748,마포구,2,2,1,0,엄격,아파트 전체,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
69385,강남구,1,1,1,0,일반,로프트 전체,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
90734,마포구,1,2,1.5,0,일반,아파트 전체,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0
55508,종로구,1,3,1,0,엄격,아파트 전체,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,3,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
54440,중구,1,1,1,0,엄격,B&b의 개인실,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20282,마포구,1,3,2,0,일반,타운하우스의 다인실,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
95004,중구,1,2,1,0,엄격,게스트용 별채의 개인실,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
39496,강남구,1,1,1,0,유연,타운하우스의 개인실,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,3,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0
46968,마포구,1,2,1,0,엄격,아파트 전체,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
30956,송파구,1,1,0,2,엄격,주택의 개인실,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0
18153,마포구,1,3,1,0,일반,B&b의 다인실,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14949,마포구,1,6,4,0,엄격,주택의 다인실,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0
10678,구로구,1,1,0,1,유연,아파트의 개인실,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
62980,강서구,2,6,1,0,엄격,콘도(아파트) 전체,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
20282,마포구,1,2,8,0,엄격,게스트용 별채의 다인실,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12814,중구,1,6,1,0,일반,B&b의 다인실,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150649,중구,2,4,1,0,엄격,아파트 전체,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,2,0,1,0,0,1,0,1
64049,용산구,1,1,1,0,엄격,주택의 개인실,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32024,광진구,2,2,0,1,엄격,주택의 개인실,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0
100341,중구,1,2,1,0,유연,B&b의 개인실,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
50171,서대문구,1,2,5,0,엄격,B&b의 개인실,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105678,중구,1,1,1,0,일반,호텔의 객실,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36294,영등포구,10,2,10,0,엄격,호스텔의 개인실,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,2,2,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0
50171,성북구,1,1,0,2,엄격,주택의 개인실,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42698,마포구,1,2,0,1,일반,공동주택의 개인실,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
60847,서대문구,2,1,1,0,엄격,B&B 전체,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90817,영등포구,2,4,1,0,엄격,아파트 전체,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
37361,영등포구,1,1,1,0,유연,아파트의 개인실,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
23484,마포구,1,3,0,1,엄격,아파트의 개인실,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
30956,마포구,1,1,1,0,엄격,아파트의 개인실,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28821,마포구,1,4,0,0,엄격,B&b의 다인실,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
